nombre,descripcion,municipio_id
Notaría pública,"Ministro de fe que garantiza la legalidad de los documentos que interviene y cuyos actos se hallan investidos de la presunción de verdad, propia de los funcionarios públicos, estando habilitado por las leyes y reglamentos para conferir fe publica de los contratos y actos extrajudiciales, originados en el marco del derecho privado, de naturaleza civil y mercantil, así como para informar y asesorar a los ciudadanos en materia de actas publicas sobre hechos, y especialmente de cuestiones testamentarias y de derecho hereditario",Huixquilucan
Organización de eventos,Planeación de ferias y exposiciones empresariales organización de eventos sociales,Huixquilucan
Afianzadoras,Dedicada a avalar y responder a títulos onerosos por acciones de responsabilidad penal o civil del afianzado,Huixquilucan
Arrendadora financiera,"Traspasa el derecho a usar un bien, a cambio del pago de rentas  durante un plazo determinado",Huixquilucan
Autofinanciamiento,"Sistema de comercialización  integrado por grupos de consumidores que aportan mensualmente sumas de dinero a un fondo común, administrado  para la adquisición de bienes y/o servicios sin pagar intereses",Huixquilucan
Caja de ahorro popular,Transacción de valores,Huixquilucan
Casa de bolsa,Transacción de valores,Huixquilucan
Casa de cambio,Cambio de divisas,Huixquilucan
Casa de empeño,Crédito pignoraticio o prendario,Huixquilucan
Factoraje financiero,"Adquisición de créditos provenientes de ventas de bienes muebles, de prestación de servicios o de realización de obras, otorgando anticipos sobre tales créditos, asumiendo o no sus riesgos",Huixquilucan
Fianzas,Ofrece garantía judicial que busca asegurar el cumplimiento de una obligación,Huixquilucan
Sociedad de inversión,"Instituciones de inversión colectiva  que adoptan la forma de sociedad anónima y cuyo objeto social es la captación de fondos, bienes o derechos del publico para gestionarlos e invertirlos en bienes, derechos, valores u otros instrumentos, financieros o no, siempre que el rendimiento del inversor se establezca en función de los resultados colectivos",Huixquilucan
Sucursales bancarias,Captación y colocación de recursos económicos del publico en el mercado financiero nacional e internacional a través de diversos instrumentos,Huixquilucan
Unión de crédito,"Instituciones financieras, constituidas con el propósito de ofrecer acceso al financiamiento y condiciones favorables para ahorrar y recibir prestamos y servicios financieros a sus asociados",Huixquilucan
Bodega,Almacenaje de bienes inmuebles,Huixquilucan
Oficinas administrativas y/o corporativas,Espacio destinado a la administración de alguna empresa,Huixquilucan
Tienda de pinturas y/o  impermeabilizantes,"Compra- venta todo tipo de  pinturas, impermeabilizantes y material para su aplicación",Huixquilucan
Escuela de arte y decoración,Clases de arte y decoración de interiores,Huixquilucan
Giros no SARE,"Todos los giros comerciales, industriales o de prestación de servicios que no entren en el catalogo de giros SARE",Huixquilucan
